Isk1as_3MBPP1r2_pr_counts	Isk1as_3MBPP1r2gb_counts	Isk1as_3MBPP1r2term_counts	Isk1as_3MBPP1r2pr_map	Isk1as_3MBPP1r2gb_map	Isk1as_3MBPP1r2term_map	Isk1as_3MBPP1r2pr_density	Isk1as_3MBPP1r2pr_densityRPKM	Isk1as_3MBPP1r2gb_density	Isk1as_3MBPP1r2gb_densityRPKM	Isk1as_3MBPP1r2pause_index_CI_low	Isk1as_3MBPP1r2pause_index_CI_high	Isk1as_3MBPP1r2pause_index_scaled	Isk1as_3MBPP1r2pause_index_CI_low_scaled	Isk1as_3MBPP1r2pause_index_CI_high_scaled	Isk1as_3MBPP1r2_ExpPR	Isk1as_3MBPP1r2_ExpGB	Isk1as_3MBPP1r2Fexact_Pval
SPBC1604.18c	25	27	2	100	1421	300	0.25	121.173404473431	0.0190007037297678	9.20951983330793	0.520219505278327	1.64665699626447	13.1574074074074	7.39231917000502	23.3989959169181	2	123	1.62388449690491e-11
SPBC1604.17c	0	18	47	100	1354	300	0	0	0.0132939438700148	6.44348975043357	0.00511285240857114	0.280011224227739	0	0.0692280216120532	3.79135197604358	1	99	1
SPBC1604.16c	29	43	21	100	632	300	0.29	140.56114918918	0.0680379746835443	32.9775721035288	0.410284375833299	1.10556881468042	4.26232558139535	2.59299725526645	6.98719490878023	8	121	0.00106117230140823
SPBC1604.14c	15	425	53	100	2785	300	0.15	72.7040426840588	0.152603231597846	73.9658124254338	0.0203082720292209	0.0602949296491649	0.982941176470588	0.565585376013802	1.67921379072924	15	100	1
SPBC1604.13c	30	105	39	100	676	300	0.3	145.408085368118	0.155325443786982	75.2852513000608	0.186421909144467	0.435712294464369	1.93142857142857	1.2602121058166	2.94541511057913	17	113	1
SPBC1604.09c	14	50	6	100	1025	300	0.14	67.8571065051215	0.0487804878048781	23.6435911167671	0.147913862135822	0.521728935002075	2.87	1.51611708689218	5.34772158377127	5	109	1
SPBC1604.08c	17	156	33	100	1771	300	0.17	82.3979150419333	0.088085827216262	42.6946382786116	0.063818279298044	0.183570196317074	1.9299358974359	1.13022172636836	3.25102817677539	9	108	1
SPBC1604.06c	16	137	22	100	1415	300	0.16	77.550978862996	0.0968197879858657	46.9279333225727	0.0670664472444342	0.200383747475847	1.65255474452555	0.948990228508744	2.83543002678324	10	106	1
SPNCRNA.1648	1	98	8	100	2142	300	0.01	4.84693617893725	0.0457516339869281	22.1755250016737	0.000527778249978962	0.0672557567881182	0.218571428571429	0.0113050101145494	1.44061831040149	4	97	1
SPBC1604.03c	20	55	31	100	921	300	0.2	96.938723578745	0.0597176981541802	28.944787170635	0.210900459186063	0.621719049267285	3.34909090909091	1.94239322910364	5.7260324437517	6	114	0.403349734903372
SPBC1604.02c	15	504	11	100	3948	300	0.15	72.7040426840588	0.127659574468085	61.8757810077096	0.0171506091304509	0.0507654766704203	1.175	0.677106048470203	2.00422101894819	13	102	1
SPNCRNA.545	4	2	3	100	117	300	0.04	19.387744715749	0.0170940170940171	8.28536098963633	0.317658834507675	15.6695269662331	2.34	0.371660836373979	18.3333465504928	1	103	1
SPBC1677.02	36	190	33	100	746	300	0.36	174.489702441741	0.254691689008043	123.447436192772	0.13048133809545	0.27400192216131	1.41347368421053	0.973390782192058	2.04405433932337	27	109	1
SPBC26H8.01	32	131	23	100	2123	300	0.32	155.101957725992	0.0617051342439943	29.9080847593396	0.162771329951019	0.364866020911833	5.18595419847328	3.45563533486012	7.74610562395822	7	125	2.53075938026015e-07
SPNCRNA.1650	0	95	192	100	641	300	0	0	0.148205928237129	71.8344675505521	0.000958984579164924	0.0508974270961784	0	0.00614709115244716	0.326252507686504	12	88	1
SPBC26H8.03	42	641	38	100	2998	300	0.42	203.571319515365	0.213809206137425	103.631957661734	0.0473223273475261	0.0903992399151547	1.96436817472699	1.41872337387883	2.71016921265634	25	117	1
SPNCRNA.431	2	15	3	100	438	300	0.02	9.6938723578745	0.0342465753424658	16.5990965032098	0.0210791526483131	0.606412790019809	0.584	0.0923266885996114	2.65608802028676	3	99	1
SPBC26H8.06	1	233	44	100	1185	300	0.01	4.84693617893725	0.19662447257384	95.3026269782599	0.000223167707726484	0.0280482351842932	0.0508583690987124	0.00264453733655883	0.332371586933874	16	85	1
SPNCRNA.1651	431	335	144	100	231	300	4.31	2089.02949312196	1.45021645021645	702.910657984406	1.11261325597964	1.48779001025382	2.97197014925373	2.57013662131297	3.43679492368633	314	217	6.37088946719439e-12
SPBC26H8.10	21	304	8	100	3086	300	0.21	101.785659757682	0.0985093972780298	47.7468761632185	0.0432041522800535	0.109335923774323	2.13177631578947	1.33328013936245	3.37410660767561	10	111	1
SPBC26H8.12	12	94	14	100	1490	300	0.12	58.163234147247	0.0630872483221477	30.5779866322216	0.0665902226205786	0.239254785429564	1.90212765957447	0.99219431704662	3.5648963029005	6	106	1
SPBC32C12.02	19	640	23	100	3832	300	0.19	92.0917873998078	0.167014613778706	80.950917393524	0.0182666900728408	0.0476707090582705	1.137625	0.699979563591258	1.82674157111293	17	102	1
SPBC3B9.01	43	133	44	100	966	300	0.43	208.418255694302	0.13768115942029	66.733179275223	0.225800170006894	0.461634960993542	3.12315789473684	2.18122964226659	4.45939372319762	17	126	0.000733571438026777
SPNCRNA.1653	18	69	20	100	1230	300	0.18	87.2448512208705	0.0560975609756098	27.1901297842821	0.149942778560986	0.448878837718855	3.20869565217391	1.84429617630013	5.52120970394192	6	112	0.983090272074859
SPBC3B9.03	16	143	22	100	1854	300	0.16	77.550978862996	0.0771305285868393	37.3846749508105	0.0643315203495821	0.191730702577669	2.07440559440559	1.19270638728125	3.55468722578998	8	108	1
SPBC3B9.04	6	83	27	100	987	300	0.06	29.0816170736235	0.0840932117527862	40.7594430447611	0.0284908459883484	0.171641925223942	0.713493975903614	0.281204649904999	1.69410580196031	8	98	1
SPBC3B9.21	26	60	40	100	759	300	0.26	126.020340652369	0.0790513833992095	38.3157010192668	0.266418816447097	0.701173827601253	3.289	2.02211881683347	5.32190935149351	9	117	0.0811210659717543
SPBC3B9.05	20	43	6	100	700	300	0.2	96.938723578745	0.0614285714285714	29.7740365277574	0.264388969200382	0.81224604627984	3.25581395348837	1.85072278440267	5.68572232395888	6	114	0.798521696522555
SPNCRNA.1655	0	15	5	100	910	300	0	0	0.0164835164835165	7.98945524000646	0.00615095181701504	0.339527058120729	0	0.0559736615348369	3.08969622889863	1	99	1
SPBC3B9.09	6	140	55	100	1685	300	0.06	29.0816170736235	0.0830860534124629	40.2712798249979	0.0171025226694094	0.10038212972088	0.722142857142857	0.288177506979548	1.69143888579682	8	98	1
SPBC3B9.10	17	172	29	100	1144	300	0.17	82.3979150419333	0.15034965034965	72.8735159770286	0.0580252703717202	0.166066803245196	1.1306976744186	0.663809093052479	1.89980422912504	15	102	1
SPBC3B9.12	6	72	9	100	542	300	0.06	29.0816170736235	0.132841328413284	64.3873440744432	0.0326922761019568	0.198872543553108	0.451666666666667	0.177192136472606	1.07788918605785	12	94	1
SPNCRNA.1656	1	18	1	100	1186	300	0.01	4.84693617893725	0.015177065767285	7.35622691575637	0.00276112751307903	0.390963955466763	0.658888888888889	0.0327469723051173	4.63683251183581	1	100	1
SPBC3B9.17	0	5	5	100	636	300	0	0	0.00786163522012579	3.8104844174035	0.0190383591688732	1.16008855872718	0	0.121083964314034	7.37816323350488	0	100	1
SPBC3B9.19	20	153	46	100	1094	300	0.2	96.938723578745	0.139853747714808	67.7862189558866	0.079640988264758	0.212318687624699	1.43006535947712	0.871272411616452	2.32276644261421	14	106	1
SPBC215.01	6	244	32	100	2784	300	0.06	29.0816170736235	0.0876436781609195	42.4803314533294	0.00989002831182016	0.0571074949666994	0.684590163934426	0.275338388201073	1.58987265987291	8	98	1
SPBC215.02	14	104	4	100	1566	300	0.14	67.8571065051215	0.0664112388250319	32.1891036149089	0.0738281636277636	0.241103364333473	2.10807692307692	1.15614904241078	3.77567868546218	7	107	1
SPBC215.04	7	24	344	100	876	257	0.07	33.9285532525608	0.0273972602739726	13.2792772025678	0.114553047929578	0.710595272343051	2.555	1.0034846998631	6.22481458572513	2	105	1
SPNCRNA.435	0	0	1	100	228	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.436	8	24	6	100	1615	300	0.08	38.775489431498	0.0148606811145511	7.20287729377672	0.138007017162321	0.777791749782136	5.38333333333333	2.22881332717148	12.5613367589815	1	107	1
SPNCRNA.1657	8	25	118	100	1880	300	0.08	38.775489431498	0.0132978723404255	6.44539385496975	0.133058315794226	0.743088361316936	6.016	2.50149633693146	13.9700611927584	1	107	1
SPBC215.05	36	569	143	100	1573	300	0.36	174.489702441741	0.361729179910998	175.327824908792	0.0444818730643413	0.0895853412400947	0.995219683655536	0.699699863302089	1.40917741770669	36	100	1
SPNCRNA.1658	5	246	1	100	4026	300	0.05	24.2346808946863	0.0611028315946349	29.6161525091546	0.00741108977552675	0.0509544755543535	0.818292682926829	0.298370474362707	2.05142718581827	6	99	1
SPNCRNA.1659	0	66	9	100	2405	300	0	0	0.0274428274428274	13.3013633184972	0.00138178273757893	0.0735710521596386	0	0.0332318748387733	1.76938380443931	2	98	1
SPBC215.10	17	46	4	100	1059	300	0.17	82.3979150419333	0.0434372049102927	21.0537359991609	0.203805268855312	0.663015012267301	3.91369565217391	2.15829779717776	7.02132897991071	4	113	0.235907219994478
SPBC215.12	36	235	124	100	3240	300	0.36	174.489702441741	0.0725308641975309	35.1552469768597	0.106113147434863	0.220218193964704	4.96340425531915	3.43806597688955	7.13506948445642	9	127	2.95727836383387e-08
SPBC215.13	62	285	42	100	1976	300	0.62	300.51004309411	0.144230769230769	69.9077333500565	0.163674963686347	0.288628205718346	4.29866666666667	3.23421728244222	5.70329334499452	20	142	2.13203433348765e-11
SPNCRNA.437	4	9	80	100	332	300	0.04	19.387744715749	0.0271084337349398	13.1392848224203	0.115554998947778	1.57169221691214	1.47555555555556	0.383642596506622	5.2180181601483	2	102	1
SPBC215.15	28	142	25	100	1041	300	0.28	135.714213010243	0.13640730067243	66.1157480700374	0.128658004456767	0.30039721378366	2.05267605633803	1.33932982639495	3.1271349954879	15	113	1
SPNCRNA.1662	14	119	107	100	2776	300	0.14	67.8571065051215	0.0428674351585014	20.7775722367987	0.0648153260781952	0.209714188395825	3.26588235294118	1.7992734519307	5.82166586986809	4	110	1
SPBC1347.02	52	278	26	100	1241	300	0.52	252.040681304737	0.224012892828364	108.577619479819	0.137511463390456	0.253831151806527	2.32129496402878	1.70651726067556	3.15004459391901	27	125	0.0494095880603931
SPBC1347.03	11	3	2	100	781	300	0.11	53.3162979683098	0.00384122919334187	1.86181927487987	0.953743981658229	16.5243318693847	28.6366666666667	7.44874049675077	129.055031899895	0	111	0.000117588138017384
SPBC1347.04	8	58	15	100	1179	300	0.08	38.775489431498	0.0491942324003393	23.8441304816252	0.0609873578979835	0.299331628602734	1.62620689655172	0.719040949617225	3.52911990122624	5	103	1
SPBC1347.07	4	91	7	100	1997	300	0.04	19.387744715749	0.0455683525287932	22.0866896486374	0.0137604474032683	0.124078721069977	0.877802197802198	0.274796134643267	2.47785205976744	4	100	1
SPBC1347.09	4	194	33	100	1445	300	0.04	19.387744715749	0.134256055363322	65.0730531981887	0.00653352914569901	0.0574043531911219	0.297938144329897	0.0944094961553507	0.829492903611711	12	92	1
SPBC1347.10	13	118	17	100	2308	300	0.13	63.0101703261843	0.0511265164644714	24.7806962354677	0.0593620062650957	0.200349009234486	2.54271186440678	1.37007510459841	4.62405513313193	5	108	1
SPBC1347.11	86	1151	231	100	1140	300	0.86	416.836511388604	1.00964912280702	489.370486136559	0.0596322487665976	0.093506459546546	0.851781059947871	0.679807635939213	1.06597363883062	93	93	1
SPBC1347.12	7	54	19	100	1658	300	0.07	33.9285532525608	0.0325693606755127	15.7861612582998	0.0539975623225674	0.295805932380742	2.14925925925926	0.895279583308168	4.90446235887271	3	104	1
SPNCRNA.1666	0	3	2	100	301	300	0	0	0.00996677740863787	4.83083340093414	0.0327971598819604	2.22593021867193	0	0.0987194512447008	6.70004995820252	0	100	1
SPBC56F2.10c	12	196	22	100	1392	300	0.12	58.163234147247	0.140804597701149	68.2470898758406	0.0325649191444251	0.112417125835822	0.852244897959184	0.453303674490397	1.56484639163464	13	99	1
SPBC56F2.09c	8	265	23	100	1857	300	0.08	38.775489431498	0.142703284868067	69.1673714280222	0.0138790071156057	0.0628239479249538	0.560603773584906	0.257733162136798	1.16664071296639	13	95	1
SPBC56F2.08c	109	881	35	100	2945	300	1.09	528.31604350416	0.299151103565365	144.996630683997	0.100866987717112	0.151634292174478	3.64364358683314	2.97053278826894	4.46562990453836	48	161	5.95855264323664e-15
SPBC56F2.07c	3	41	1	100	2534	300	0.03	14.5408085368118	0.016179952644041	7.8423197843894	0.018097258027843	0.24546147865685	1.85414634146341	0.458584518425542	6.21999386916458	1	102	1
SPNCRNA.1668	2	9	4	100	1260	300	0.02	9.6938723578745	0.00714285714285714	3.46209727066946	0.0332058119471448	1.09402338033518	2.8	0.418393230534024	13.7846945922233	0	102	1
SPNCRNA.1670	15	28	5	100	269	300	0.15	72.7040426840588	0.104089219330855	50.4513803012056	0.273103619980011	1.04032406527015	1.44107142857143	0.73464873774623	2.79847173557671	10	105	1
SPBC56F2.05c	5	280	15	100	2718	300	0.05	24.2346808946863	0.103016924208977	49.9316456991328	0.00651876229932338	0.0447096343137205	0.485357142857143	0.17717995929561	1.21520786064692	9	96	1
SPNCRNA.1671	0	66	4	100	1889	284	0	0	0.034939121228163	16.9347690741058	0.00138178273757893	0.0735710521596386	0	0.026101875912866	1.38975717529557	3	97	1
SPBC56F2.14	4	21	13	100	245	300	0.04	19.387744715749	0.0857142857142857	41.5451672480336	0.0554542706831016	0.585207244627966	0.466666666666667	0.135862963173599	1.43375774933852	8	96	1
SPNCRNA.1672	0	16	14	100	654	300	0	0	0.0244648318042813	11.8579478383786	0.00576104614150375	0.317064970660191	0	0.0376772417654345	2.07360490811765	2	98	1
SPNCRNA.1674	10	78	21	100	1097	300	0.1	48.4693617893725	0.0711030082041933	34.4631742896176	0.0624759447972246	0.255371343767304	1.40641025641026	0.685361114425554	2.80142364112732	7	103	1
SPNCRNA.113	6	3	27	100	68	300	0.06	29.0816170736235	0.0441176470588235	21.3835419658996	0.447546912223926	10.0597133642664	1.36	0.30433190031227	6.84060508770113	4	102	1
SPBC1861.02	19	321	65	100	2571	300	0.19	92.0917873998078	0.12485414235706	60.5160059680614	0.0361654391448799	0.0957312642885653	1.52177570093458	0.929813440414862	2.46125080485901	13	106	1
SPBC1861.03	14	559	5	100	4803	300	0.14	67.8571065051215	0.116385592338122	56.4113538210686	0.0141528848527646	0.0434786044043639	1.20289803220036	0.679763059478282	2.0882773695416	11	103	1
SPBC1861.05	9	341	26	100	3848	300	0.09	43.6224256104353	0.0886174636174636	42.952319049314	0.0127609631166295	0.0525972871741991	1.01560117302053	0.491041860727901	2.02394361046318	8	101	1
SPBC1861.07	4	12	5	100	313	300	0.04	19.387744715749	0.0383386581469649	18.5825029224431	0.0909024582098313	1.10933161535556	1.04333333333333	0.284524694196772	3.47220795606289	3	101	1
SPNCRNA.1676	1	8	128	100	870	300	0.01	4.84693617893725	0.00919540229885057	4.45695280821816	0.00586171689225921	0.973546520057376	1.0875	0.0509969369626551	8.46985472449917	0	101	1
SPBC1861.09	70	231	29	100	1834	300	0.7	339.285532525608	0.125954198473282	61.0491961469196	0.229802233928196	0.399047569477243	5.55757575757576	4.21457297024311	7.31853242421263	19	151	2.68251137466421e-17
SPBC14F5.01	15	99	3	100	1568	300	0.15	72.7040426840588	0.0631377551020408	30.6024669460962	0.0845671289623462	0.267175679597811	2.37575757575758	1.32601258212959	4.18931465609367	6	109	1
SPBC14F5.02	9	113	28	100	1624	300	0.09	43.6224256104353	0.0695812807881773	33.7256027229008	0.0378044253474206	0.16186398696027	1.29345132743363	0.613943867642111	2.62867114823479	7	102	1
SPBC14F5.06	63	825	127	100	2434	300	0.63	305.356979273047	0.338948233360723	164.286045506295	0.0585864698105271	0.0993435469397528	1.85869090909091	1.42599467518823	2.41802193251358	41	122	1
SPBC14F5.07	52	452	19	100	4226	300	0.52	252.040681304737	0.106956933270232	51.8413429455664	0.0853960992025066	0.154597412241257	4.86176991150442	3.60883915229793	6.53328664131553	14	138	4.9037140087486e-12
SPBC14F5.08	6	140	10	100	3230	300	0.06	29.0816170736235	0.043343653250774	21.0083921068488	0.0171025226694094	0.10038212972088	1.38428571428571	0.552411482221922	3.24234278998441	4	102	1
SPBC3F6.03	8	663	61	100	1984	300	0.08	38.775489431498	0.334173387096774	161.971707995736	0.00558514574571532	0.0249302210859331	0.239396681749623	0.110809291594992	0.494615586344914	27	81	1
SPBC3F6.05	28	592	21	100	3788	300	0.28	135.714213010243	0.156282998944034	75.749372173465	0.0317393066727496	0.0700139868547355	1.79162162162162	1.20228493676375	2.65212982205738	17	111	1
SPBC342.02	26	181	20	100	2319	300	0.26	126.020340652369	0.0780508840017249	37.8307653465995	0.09309208379942	0.220109608466651	3.33116022099448	2.15880542330855	5.10434182034165	9	117	0.0166595707200932
SPBC342.03	11	52	14	100	1235	300	0.11	53.3162979683098	0.0421052631578947	20.4081523323674	0.104301619507013	0.418782307249152	2.6125	1.28812500091161	5.17196149452703	4	107	1
SPBC342.04	7	118	15	100	1446	268	0.07	33.9285532525608	0.0816044260027663	39.5531444754216	0.0253878901171685	0.131443500828245	0.857796610169492	0.367108891094256	1.90067302197643	8	99	1
SPBC342.05	19	157	23	100	2411	300	0.19	92.0917873998078	0.06511820821236	31.5623799292057	0.0728890478326609	0.198652735373543	2.91777070063694	1.75735494324545	4.78951744985613	7	112	1
SPNCRNA.1680	5	34	38	100	1088	300	0.05	24.2346808946863	0.03125	15.1466755591789	0.0506159886425307	0.393324464431894	1.6	0.550701956430734	4.279370173019	3	102	1
SPBC16G5.01	11	224	46	100	936	300	0.11	53.3162979683098	0.239316239316239	115.995053854909	0.0254288852591635	0.092294841731337	0.459642857142857	0.238014366025771	0.863879718605315	21	90	1
SPBC16G5.03	75	170	17	100	1049	300	0.75	363.520213420294	0.162059103908484	78.5490133860184	0.333102699245362	0.583707649737164	4.62794117647059	3.49424731508385	6.12309324574285	24	151	1.25358257144103e-13
SPBC16G5.04	8	46	24	100	663	300	0.08	38.775489431498	0.0693815987933635	33.6288181344063	0.0759372133709383	0.382613704101175	1.15304347826087	0.503463724649321	2.53672885819079	7	101	1
SPBC16G5.06	24	268	5	100	2443	300	0.24	116.326468294494	0.109701187065084	53.1714652458118	0.057589207043851	0.138119951412232	2.18776119402985	1.40690432808128	3.37427041300083	12	112	1
SPBC16G5.08	6	92	22	100	1502	300	0.06	29.0816170736235	0.0612516644474035	29.6882908430244	0.0257801998313862	0.154346611177421	0.979565217391304	0.387218601467421	2.31828609988486	6	100	1
SPBC16G5.09	13	119	10	100	1824	300	0.13	63.0101703261843	0.0652412280701754	31.622006869163	0.0588784086503248	0.198611462595679	1.99260504201681	1.07394217378192	3.62267307774518	6	107	1
SPBC16G5.10	9	176	0	100	1951	300	0.09	43.6224256104353	0.0902101486417222	43.724283315887	0.0245116629664697	0.102844282241537	0.997670454545455	0.478222544475824	2.00649194653238	9	100	1
SPNCRNA.1682	1	13	4	100	2102	300	0.01	4.84693617893725	0.00618458610846813	2.99762941608869	0.00375396436557918	0.55840707127902	1.61692307692308	0.0789083309644745	11.737716638285	0	101	1
SPBC16G5.13	9	68	1	100	1152	300	0.09	43.6224256104353	0.0590277777777778	28.6103871673379	0.0617145743157014	0.274149120316157	1.52470588235294	0.71095189611688	3.15819786604213	6	103	1
SPNCRNA.439	0	4	53	100	641	300	0	0	0.0062402496099844	3.02460916002325	0.0240893601812892	1.52670069174082	0	0.154412798762064	9.78615143405865	0	100	1
SPBC16G5.16	52	387	24	100	3482	300	0.52	252.040681304737	0.111143021252154	53.8703130743457	0.0994781438426481	0.18104309192552	4.67865633074935	3.46382896860101	6.30392046084661	15	137	2.54941007303808e-11
SPBC16G5.17	8	140	14	100	1940	300	0.08	38.775489431498	0.0721649484536082	34.9778899510936	0.0260105954649789	0.120188403466023	1.10857142857143	0.504605552020591	2.33165502724085	7	101	1
SPBC16G5.18	9	57	24	100	1221	300	0.09	43.6224256104353	0.0466830466830467	22.6269747911076	0.0730044869861691	0.330046087572309	1.92789473684211	0.891384786101125	4.0298627292579	4	105	1
SPBC16G5.19	3	0	69	100	204	300	0.03	14.5408085368118	0	0	0.449250381531113	30.4904450141133	NA	0.91647077832347	62.2005078287911	0	103	1
SPBC1652.01	17	1794	26	100	2840	300	0.17	82.3979150419333	0.63169014084507	306.176179753994	0.00568900358312788	0.0155582331940096	0.269119286510591	0.161567701760832	0.441853822709872	45	72	1
SPBC1652.02	18	547	43	100	3218	300	0.18	87.2448512208705	0.169981354878807	82.388877870686	0.0199459353416909	0.053585328487545	1.05893967093236	0.641860199295612	1.7243758707292	17	101	1
SPNCRNA.440	8	77	58	100	774	300	0.08	38.775489431498	0.0994832041343669	48.2188741315463	0.0464972036115854	0.222540807947366	0.804155844155844	0.359888355953671	1.72246585351261	9	99	1
SPBC16A3.17c	8	482	32	100	3011	300	0.08	38.775489431498	0.160079707738293	77.5896126950433	0.00766941534352166	0.0343540186321608	0.499751037344398	0.230926095993437	1.03439950101436	14	94	1
SPBC16A3.15c	52	290	22	100	1650	300	0.52	252.040681304737	0.175757575757576	85.1885752661699	0.131956350025552	0.243075256321454	2.95862068965517	2.17727977542161	4.01074172930399	22	130	9.85666732329349e-05
SPNCRNA.1685	1	119	3	100	1150	236	0.01	4.84693617893725	0.103478260869565	50.1552526342202	0.00043534421464806	0.055243744050271	0.0966386554621849	0.00500645846845269	0.635303056578117	9	92	1
SPBC16A3.12c	34	151	15	100	1628	300	0.34	164.795830083867	0.0927518427518428	44.9562262297005	0.152423587346675	0.331170935697759	3.66569536423841	2.48145600200387	5.39146283315952	11	123	0.000197928853656483
SPBC16A3.09c	23	142	15	100	1381	300	0.23	111.479532115557	0.102824040550326	49.8381562207885	0.101584340768073	0.256122257850604	2.23683098591549	1.40287974600709	3.53704838091684	11	112	1
SPBC16A3.08c	54	892	152	100	1328	300	0.54	261.734553662612	0.671686746987952	325.562279488857	0.0455314206812631	0.0802936954444595	0.803946188340807	0.604657266647174	1.06630027550242	61	93	1
SPBC16A3.07c	25	162	18	100	2438	300	0.25	121.173404473431	0.066447908121411	32.2068769888365	0.0988996340622987	0.239032908129565	3.76234567901235	2.41117307843884	5.82762230019879	7	118	0.00354664223824765
SPBC16A3.05c	3	148	22	100	1775	300	0.03	14.5408085368118	0.0833802816901408	40.4138903933923	0.00517164067718555	0.0655266111284806	0.359797297297297	0.0917966220200436	1.16309734753053	7	96	1
SPBC16A3.03c	30	345	46	100	2555	300	0.3	145.408085368118	0.135029354207436	65.4478662126556	0.0587554323840299	0.127941769979179	2.22173913043478	1.50120129741197	3.26891222296802	15	115	1
SPBC16A3.02c	0	118	17	100	1595	300	0	0	0.0739811912225705	35.8582112297552	0.000771710724765841	0.0409002962922262	0	0.0123087860600152	0.652359725861009	6	94	1
SPBC543.04	1	147	4	100	2549	300	0.01	4.84693617893725	0.0576696743821106	27.9521231190183	0.000352929139911527	0.0446182536198615	0.173401360544218	0.00899616377634482	1.13731928477027	5	96	1
SPBC543.07	7	68	19	100	1498	300	0.07	33.9285532525608	0.0453938584779706	22.0021134958433	0.0433176968143683	0.232313875307708	1.54205882352941	0.648899098279237	3.48006185210947	4	103	1
SPBC543.08	10	231	71	100	1135	300	0.1	48.4693617893725	0.20352422907489	98.6468949193396	0.021682971832258	0.0837557527697759	0.491341991341991	0.246101730296129	0.950627793936956	18	92	1
SPBC543.09	30	275	44	100	2862	300	0.3	145.408085368118	0.0960866526904263	46.5725873238205	0.0734140240871615	0.161172259653588	3.12218181818182	2.10110936937456	4.61275007128569	11	119	0.00992584370009408
SPBC543.10	7	186	35	100	1338	300	0.07	33.9285532525608	0.139013452914798	67.3789334291725	0.0162444920661279	0.0826237757013464	0.503548387096774	0.217351303844791	1.10550611888401	13	94	1
SPBC16C6.04	11	125	10	100	1065	300	0.11	53.3162979683098	0.117370892018779	56.8889222879959	0.0450212796259949	0.167508740890203	0.9372	0.479476628016845	1.78396809048066	11	100	1
SPBC16C6.05	24	53	26	100	693	300	0.24	116.326468294494	0.0764790764790765	37.0689202718145	0.271689973150389	0.750456563672369	3.13811320754717	1.88281151393219	5.20066398624952	8	116	0.326741794213974
SPBC16C6.06	9	184	6	100	4429	300	0.09	43.6224256104353	0.0415443666741928	20.136289386418	0.0234640412418201	0.0982922547091263	2.16635869565217	1.03922238660021	4.3533639610672	4	105	1
SPBC16C6.09	15	268	49	100	2515	300	0.15	72.7040426840588	0.106560636182903	51.649260276548	0.0320272943728288	0.0961675422396416	1.40764925373134	0.805486453476645	2.41861368732699	11	104	1
SPBC16C6.10	4	74	17	100	1322	300	0.04	19.387744715749	0.0559757942511346	27.1311102300572	0.0168338161572729	0.153492645237905	0.714594594594595	0.222543049599148	2.02917277004511	5	99	1
SPBC16C6.11	29	111	100	100	316	300	0.29	140.56114918918	0.35126582278481	170.256302487986	0.169880166634168	0.399642233046604	0.825585585585586	0.536821326563971	1.26286945642727	33	96	1
SPNCRNA.441	4	5	42	100	186	300	0.04	19.387744715749	0.0268817204301075	13.0293983304765	0.181238005776631	3.41444135261595	1.488	0.337102690744534	6.35086091586566	2	102	1
SPBC244.02c	26	280	61	100	1511	300	0.26	126.020340652369	0.185307743216413	89.8174804832846	0.0607760937675012	0.140848798971351	1.40307142857143	0.918326776826943	2.12822535245712	19	107	1
SPBC244.01c	3	96	5	100	3634	300	0.03	14.5408085368118	0.0264171711612548	12.8042342646664	0.0079209966407539	0.101803651322504	1.135625	0.287849017924997	3.69954468905979	2	101	1
SPBC1539.02	1	79	14	100	3813	300	0.01	4.84693617893725	0.020718594282717	10.0421704205624	0.000653273939375048	0.083726477547001	0.482658227848101	0.0249093353083706	3.19249058886715	2	99	1
SPNCRNA.442	0	36	70	100	888	300	0	0	0.0405405405405405	19.6497412659618	0.00254044356681343	0.136449384104687	0	0.0225591388733032	1.21167053084962	3	97	1
SPBC1539.04	59	459	42	100	1275	300	0.59	285.969234557298	0.36	174.489702441741	0.0970666734138428	0.169869827203772	1.63888888888889	1.2376000860265	2.16584029684809	42	117	1
SPBC1539.05	16	174	27	100	2485	300	0.16	77.550978862996	0.0700201207243461	33.9383056392387	0.0531368061882375	0.156750388139526	2.28505747126437	1.3204496337777	3.89524714526722	7	109	1
SPBC1539.06	58	252	228	100	336	300	0.58	281.122298378361	0.75	363.520213420294	0.171178103915507	0.308859977979369	0.773333333333333	0.575158429156103	1.03776952601068	67	91	1
SPBC1539.08	7	191	14	100	1277	300	0.07	33.9285532525608	0.149569303054033	72.4952866231022	0.0158254221234825	0.0804270331417357	0.468010471204188	0.202090640516872	1.02705321321996	13	94	1
SPBC1539.10	55	76	13	100	717	300	0.55	266.581489841549	0.105997210599721	51.3761714922219	0.504198081949294	1.03778388395507	5.18881578947368	3.61510024757644	7.44091044795783	14	141	1.07499352851309e-10
SPNCRNA.1689	3	4	3	100	382	300	0.03	14.5408085368118	0.0104712041884817	5.07532584181911	0.133893566820236	3.94140253599159	2.865	0.511473425253301	15.0561576874879	1	102	1
SPBC1289.08	4	81	45	100	1829	300	0.04	19.387744715749	0.0442864953526517	21.4653816563104	0.0154160419382817	0.139843211786121	0.90320987654321	0.281959407051172	2.55773234356816	4	100	1
SPBC1289.09	24	51	11	100	912	300	0.24	116.326468294494	0.0559210526315789	27.1045773164254	0.281456156810167	0.782465688699295	4.29176470588235	2.56688015010872	7.13608708093757	6	118	0.0034911548736209
