Mcs6as_Cdk9as_3MBPP1r1_pr_counts	Mcs6as_Cdk9as_3MBPP1r1gb_counts	Mcs6as_Cdk9as_3MBPP1r1term_counts	Mcs6as_Cdk9as_3MBPP1r1pr_map	Mcs6as_Cdk9as_3MBPP1r1gb_map	Mcs6as_Cdk9as_3MBPP1r1term_map	Mcs6as_Cdk9as_3MBPP1r1pr_density	Mcs6as_Cdk9as_3MBPP1r1pr_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1gb_density	Mcs6as_Cdk9as_3MBPP1r1gb_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high	Mcs6as_Cdk9as_3MBPP1r1pause_index_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1r1_ExpPR	Mcs6as_Cdk9as_3MBPP1r1_ExpGB	Mcs6as_Cdk9as_3MBPP1r1Fexact_Pval
SPAC4D7.07c	19	265	15	100	2087	300	0.19	41.8800621147448	0.126976521322472	27.9883400005229	0.0436793901207098	0.116312801646169	1.49633962264151	0.911588871819214	2.42744817035555	13	106	1
SPAC4D7.08c	117	895	78	100	2227	300	1.17	257.893014075007	0.401885945217782	88.5842544671769	0.107288868156609	0.159167269568022	2.91127374301676	2.38932309384769	3.54465509327984	62	155	3.76073346768516e-10
SPAC4D7.10c	6	1114	270	100	2244	300	0.06	13.2252827730773	0.496434937611408	109.424873805764	0.00218430742026365	0.0123959958271292	0.120861759425494	0.0490158585107164	0.278166146360779	35	71	1
SPAC4D7.14	21	29	43	100	474	300	0.21	46.2884897057705	0.0611814345991561	13.4856962172729	0.398388206374512	1.3112203956336	3.43241379310345	1.88836009821519	6.21518467530325	6	115	0.670548993232019
SPAC4D7.12c	84	373	58	100	839	300	0.84	185.153958823082	0.444576877234803	97.994248596699	0.176439958108358	0.287116745566067	1.88943699731904	1.48033124852912	2.4089094952993	56	128	0.398103444858327
SPAC3G6.03c	3	97	4	100	1656	300	0.03	6.61264138653865	0.0585748792270531	12.9111556862771	0.0078408354017901	0.100731321272129	0.512164948453608	0.129844234253644	1.66811068026646	5	98	1
SPAC3G6.06c	16	136	12	100	1636	300	0.16	35.2674207282061	0.0831295843520782	18.3235376644103	0.0675450466125518	0.201902349344802	1.92470588235294	1.10503696258135	3.30312243528097	8	108	1
SPAC3G6.09c	56	742	15	100	2659	300	0.56	123.435972548721	0.279052275291463	61.5090874866701	0.0569520712294787	0.0997836461140843	2.00679245283019	1.51435557399184	2.6532471501735	34	122	0.41851565178125
SPAC3G6.10c	23	303	166	100	645	300	0.23	50.6969172967963	0.469767441860465	103.546787603163	0.0484657055214104	0.117845408652253	0.48960396039604	0.312603800613097	0.760102885807034	39	84	1
SPAC3G6.13c	588	795	529	100	197	300	5.88	1296.07771176157	4.03553299492386	889.517749965858	0.663873738388124	0.823994906249815	1.45705660377358	1.3078312646246	1.62326996531214	551	137	1
SPAC29B12.02c	16	967	4	100	2739	300	0.16	35.2674207282061	0.353048557867835	77.819450173821	0.00974932139043093	0.0276428725464667	0.453195449844881	0.267033912883903	0.757138279047724	30	86	1
SPNCRNA.1080	10	56	14	100	895	300	0.1	22.0421379551288	0.0625698324022346	13.7917287763935	0.0856595376656299	0.361744350646676	1.59821428571429	0.766652862107388	3.23761193828775	6	104	1
SPAC29B12.05c	18	76	16	100	819	300	0.18	39.6758483192319	0.0927960927960928	20.4542427910841	0.136862853443291	0.405258409018525	1.93973684210526	1.12090676970055	3.31906636986172	10	108	1
SPAC29B12.06c	60	666	38	100	1616	300	0.6	132.252827730773	0.412128712871287	90.8419794437859	0.0685300280537764	0.118189990734135	1.45585585585586	1.10744525334903	1.90995025026362	46	114	1
SPNCRNA.1082	18	302	1	100	3284	300	0.18	39.6758483192319	0.0919610231425091	20.2701755860198	0.0358928041014554	0.0977099249442285	1.95735099337748	1.17871968669179	3.20879393516846	9	109	1
SPNCRNA.1083	7	192	17	100	990	300	0.07	15.4294965685902	0.193939393939394	42.748388761462	0.0157441895664126	0.0800016248152438	0.3609375	0.155867476707484	0.792016085670913	17	90	1
SPAC29B12.10c	120	1776	25	100	3007	300	1.2	264.505655461546	0.590621882274692	130.185690084166	0.0559081147066028	0.0815987705064558	2.03175675675676	1.68115700922754	2.45367502912913	81	139	0.00145252729902871
SPAC29B12.11c	15	575	58	100	1180	300	0.15	33.0632069326932	0.48728813559322	107.408723086433	0.0150478276652751	0.0444513322143468	0.307826086956522	0.177564366450246	0.524525720129292	37	78	1
SPAC29B12.14c	2	637	11	100	2889	300	0.02	4.40842759102576	0.22049151955694	48.6010449201006	0.000542603443111648	0.0126996905604882	0.0907064364207221	0.0156758134714955	0.366894060292504	18	84	1
SPNCRNA.28	23	219	131	100	539	300	0.23	50.6969172967963	0.406307977736549	89.5589649753843	0.0666458890429722	0.164074433403483	0.56607305936073	0.35922134194162	0.884361196044773	35	88	1
SPNCRNA.21	1	1	5	100	69	300	0.01	2.20421379551288	0.0144927536231884	3.19451274712012	0.027408528703162	36.4849938072245	0.69	0.0189118848051818	25.1746457269849	1	100	1
SPAC1039.05c	0	303	3	100	3153	300	0	0	0.0960989533777355	21.1822638769554	0.000300188151964893	0.0158534812160137	0	0.00946493243145308	0.499860262740912	8	92	1
SPAC1039.07c	14	225	26	100	1430	300	0.14	30.8589931371803	0.157342657342657	34.6816855937342	0.03480049185368	0.109185810396226	0.889777777777778	0.497647033507624	1.56135708866603	15	99	1
SPNCRNA.1086	0	52	25	100	1930	300	0	0	0.0269430051813472	5.93881437133004	0.00175540185204023	0.0937274199558428	0	0.0338792557443764	1.80893920514777	2	98	1
SPAC1039.11c	0	404	27	100	3471	300	0	0	0.116392970325555	25.6554990892309	0.000225099802536593	0.0118812174690362	0	0.00781321414604516	0.412397058350245	10	90	1
SPNCRNA.276	0	0	0	100	431	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1088	7	37	17	100	375	300	0.07	15.4294965685902	0.0986666666666667	21.7482427823938	0.0770802406679355	0.442389864639154	0.70945945945946	0.289050902504758	1.65896199239683	9	98	1
SPAC922.05c	1	168	2	100	3298	300	0.01	2.20421379551288	0.0509399636143117	11.228257054159	0.000309049489364474	0.0389932453250671	0.196309523809524	0.0101924521592404	1.28599723082071	4	97	1
SPAC922.07c	5	42	0	100	1758	300	0.05	11.0210689775644	0.0238907849829352	5.26603978450177	0.0414862004069887	0.313946647192531	2.09285714285714	0.729327403154861	5.51918205764469	2	103	1
SPAC869.11	1	1144	48	100	2450	300	0.01	2.20421379551288	0.466938775510204	102.923289063948	4.55934110387224e-05	0.00568462038189528	0.0214160839160839	0.0011170385704487	0.139273199356434	32	69	1
SPNCRNA.1091	0	19	12	100	1972	300	0	0	0.00963488843813387	2.12373540135623	0.00484054272324269	0.264551414760663	0	0.0954555025023458	5.21695389908028	0	100	1
SPAC869.09	0	0	0	100	404	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC869.08	0	9	2	100	1162	300	0	0	0.00774526678141136	1.70722238895146	0.0103569347612096	0.590306163886248	0	0.120347581925255	6.8593576243582	0	100	1
SPAC869.04	0	2	1	100	1032	300	0	0	0.00193798449612403	0.427173216184667	0.0514242900386907	4.05388820080272	0	0.530698673199289	41.8361262322841	0	100	1
SPAC869.01	0	5	0	100	1706	300	0	0	0.00293083235638921	0.646018111228863	0.0190383591688732	1.16008855872718	0	0.324794407420977	19.7911108118857	0	100	1
SPNCRNA.283	4	19	3	100	264	300	0.04	8.81685518205153	0.071969696969697	15.8636598919488	0.0607135246304446	0.654199207039878	0.55578947368421	0.160283705024374	1.72708590658528	6	98	1
SPAC186.02c	1	5	1	100	1093	300	0.01	2.20421379551288	0.00457456541628545	1.00833201990525	0.00883974757390515	1.74105855180368	2.186	0.0966184409827833	19.0297699712142	0	101	1
SPAC186.04c	0	2	0	100	836	300	0	0	0.00239234449760766	0.527323874524613	0.0514242900386907	4.05388820080272	0	0.429907064723455	33.8905053587108	0	100	1
SPAC186.05c	0	1	0	100	1249	300	0	0	0.000800640512409928	0.176478286270047	0.120791776113059	17.3080587281839	0	1.50868928365211	216.177653515017	0	100	1
SPAC186.07c	0	0	0	100	798	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC186.08c	0	1	0	100	928	300	0	0	0.00107758620689655	0.237523038309578	0.120791776113059	17.3080587281839	0	1.12094768232919	160.618784997547	0	100	1
SPAC750.05c	0	0	0	13	70	0	0	0	0	0	NA	NA	NA	NA	NA	0	13	1
SPAC750.06c	0	0	0	0	55	36	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPBC1348.03	0	0	0	0	68	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPBC1348.05	0	0	0	0	35	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPBC1348.07	0	0	0	0	70	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.287	0	0	0	0	35	17	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPBC1348.11	0	2	1	100	1349	300	0	0	0.00148257968865827	0.326792260268774	0.0514242900386907	4.05388820080272	0	0.693713672621938	54.6869518288288	0	100	1
SPBC1348.12	1	19	1	100	1277	276	0.01	2.20421379551288	0.0148786217697729	3.27956633631517	0.00262241420563744	0.368819983318377	0.672105263157895	0.0334882294059901	4.70983118697567	1	100	1
SPBPB8B6.03	0	3	0	100	1815	300	0	0	0.00165289256198347	0.36433285876246	0.0327971598819604	2.22593021867193	0	0.595268451857581	40.4006334688956	0	100	1
SPNCRNA.1301	0	7	0	100	1883	300	0	0	0.00371747211895911	0.819410332904417	0.0134151780994594	0.782741335671289	0	0.252607803612821	14.7390193506904	0	100	1
SPNCRNA.1302	2	19	8	100	998	300	0.02	4.40842759102576	0.0190380761523046	4.19639900949346	0.0169524113891639	0.46686156027615	1.05052631578947	0.169185065663856	4.65927837155598	1	101	1
SPBPB21E7.10	0	0	0	100	564	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.289	0	0	2	100	242	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.1303	0	2	0	100	507	300	0	0	0.00394477317554241	0.869512345369973	0.0514242900386907	4.05388820080272	0	0.260721150496162	20.5532131780698	0	100	1
SPNCRNA.1304	4	2	0	100	684	300	0.04	8.81685518205153	0.00292397660818713	0.644506957752305	0.317658834507675	15.6695269662331	13.68	2.1727864280325	107.179564449035	0	104	1
SPBPB21E7.05	0	0	0	100	183	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPBPB21E7.06	0	0	0	100	297	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPBPB21E7.07	18	136	22	100	979	300	0.18	39.6758483192319	0.138917262512768	30.6203346465528	0.0783338468019428	0.220896636720261	1.29573529411765	0.76688836019102	2.16257807349135	14	104	1
SPBPB21E7.08	31	431	70	100	1151	300	0.31	68.3306276608993	0.374456993918332	82.5383271821071	0.0490590692151784	0.104859023416601	0.827865429234339	0.564669886666704	1.20692735952508	35	96	1
SPBPB21E7.09	2	157	12	100	1559	300	0.02	4.40842759102576	0.100705580500321	22.197662982394	0.00218647479066798	0.0519775762718875	0.19859872611465	0.0340871419865139	0.810330414078725	9	93	1
SPBPB10D8.01	12	238	13	100	2234	300	0.12	26.4505655461546	0.106535362578335	23.4826715905132	0.0269049638931462	0.0922663264983484	1.12638655462185	0.601056893372886	2.0612297339731	10	102	1
SPNCRNA.1307	1	18	4	100	1475	300	0.01	2.20421379551288	0.0122033898305085	2.68988802164284	0.00276112751307903	0.390963955466763	0.819444444444444	0.0407266308179157	5.76671834313476	1	100	1
SPBPB10D8.03	0	4	0	100	1102	300	0	0	0.00362976406533575	0.800077602726999	0.0240893601812892	1.52670069174082	0	0.265464749197807	16.8242416229838	0	100	1
SPNCRNA.291	1	14	2	100	973	300	0.01	2.20421379551288	0.0143884892086331	3.17153064102573	0.00350210863509423	0.514391103811047	0.695	0.0340755170194669	5.00502544008149	1	100	1
SPBC359.01	2	78	1	100	2159	300	0.02	4.40842759102576	0.0361278369615563	7.96334766327025	0.004360942738695	0.105851711244043	0.553589743589744	0.094152753728425	2.28533844575888	3	99	1
SPBC359.02	1	25	1	100	1570	300	0.01	2.20421379551288	0.0159235668789809	3.50989457884217	0.00201502960057811	0.275223236161762	0.628	0.0316359647290764	4.32100480773966	1	100	1
SPNCRNA.292	9	5	16	100	81	300	0.09	19.8379241596159	0.0617283950617284	13.6062579969931	0.553480171769691	6.15381334859257	1.458	0.44831893913345	4.98458881235998	6	103	1
SPNCRNA.1311	1	31	4	100	998	300	0.01	2.20421379551288	0.031062124248497	6.84675627864723	0.00163609062693161	0.219484423903823	0.321935483870968	0.0163281844567775	2.19045455056016	3	98	1
SPNCRNA.293	1	13	13	100	410	300	0.01	2.20421379551288	0.0317073170731707	6.98897057113841	0.00375396436557918	0.55840707127902	0.315384615384615	0.0153912538988747	2.28946899224398	3	98	1
SPBC359.05	1	220	4	100	4664	300	0.01	2.20421379551288	0.0471698113207547	10.3972348844947	0.000236300838498178	0.0297164668801387	0.212	0.011021071107555	1.38597601528967	4	97	1
SPNCRNA.294	2	0	6	100	64	300	0.02	4.40842759102576	0	0	0.246676758328458	19.4460633145857	NA	0.157873125330213	12.4454805213349	0	102	1
SPNCRNA.1314	1	4	4	100	708	300	0.01	2.20421379551288	0.00564971751412429	1.24531852853835	0.0106420142837121	2.34682041637603	1.77	0.0753454611286818	16.6154885479423	0	101	1
SPBC359.06	2	9	1	100	824	300	0.02	4.40842759102576	0.0109223300970874	2.40751506791456	0.0332058119471448	1.09402338033518	1.83111111111111	0.273615890444473	9.0147526539619	1	101	1
SPBC1683.01	27	1143	97	100	3531	300	0.27	59.5137724788478	0.323704333050127	71.3513556576387	0.0158040892776025	0.0350568178422471	0.834094488188976	0.558042392392143	1.23785623800975	31	96	1
SPBC1683.02	11	77	0	100	1650	300	0.11	24.2463517506417	0.0466666666666667	10.2863310457268	0.0718791663215344	0.276766985649236	2.35714285714286	1.18600624430532	4.56665526321239	4	107	1
SPNCRNA.296	1	2	8	100	413	300	0.01	2.20421379551288	0.00484261501210654	1.0674158816043	0.0179700152612445	6.97865092307548	2.065	0.07421616302894	28.8218283123017	0	101	1
SPNCRNA.297	5	2	2	100	515	300	0.05	11.0210689775644	0.00388349514563107	0.856005357480731	0.433815156497564	18.5601677038827	12.875	2.23414805596246	95.5848636749959	0	105	1
SPBC1683.04	45	573	4	100	2811	300	0.45	99.1896207980797	0.20384204909285	44.9311456716073	0.0572632728524307	0.107362416130306	2.20759162303665	1.60967059988183	3.0179575174229	24	121	0.226300052209243
SPBC1683.05	10	1271	25	100	2310	300	0.1	22.0421379551288	0.55021645021645	121.279469008523	0.0039876133698643	0.0150345287046397	0.181746656176239	0.0921138688438653	0.347297613077176	39	71	1
SPBC1683.07	1	378	20	100	3999	300	0.01	2.20421379551288	0.0945236309077269	20.835029124878	0.000137765618405737	0.0172481125348865	0.105793650793651	0.00550924708004542	0.68975202027011	8	93	1
SPBC1683.08	9	92	8	100	3373	300	0.09	19.8379241596159	0.0272754224725763	6.01208624924949	0.0461472693017013	0.200128704077717	3.29967391304348	1.55654739354639	6.75034118854138	2	107	1
SPNCRNA.298	10	17	9	100	561	300	0.1	22.0421379551288	0.0303030303030303	6.67943574397843	0.251187624783445	1.3547894576787	3.3	1.40916257503513	7.6003688575775	3	107	1
SPNCRNA.100	2	2	5	100	63	300	0.02	4.40842759102576	0.0317460317460317	6.99750411273931	0.101199373606884	9.88148408788154	0.63	0.0637556053723367	6.22533497536537	3	99	1
SPBC1683.12	1	98	8	100	3101	300	0.01	2.20421379551288	0.0316027088036117	6.96591267204974	0.000527778249978962	0.0672557567881182	0.316428571428571	0.0163664035318476	2.08560101799954	3	98	1
SPBC1198.01	14	240	7	100	1489	300	0.14	30.8589931371803	0.161182001343183	35.5279590949021	0.0326604643416748	0.102247590842733	0.868583333333333	0.486314314047538	1.52246662764829	15	99	1
SPBC1198.02	75	862	40	100	1120	300	0.75	165.316034663466	0.769642857142857	169.645740333224	0.0682098488229685	0.110821060974716	0.974477958236659	0.763950306817247	1.24119588291682	76	99	1
SPNCRNA.1321	14	102	6	100	1304	300	0.14	30.8589931371803	0.0782208588957055	17.2415496274781	0.075222937323218	0.246011851921017	1.78980392156863	0.980907102694763	3.20799454905006	8	106	1
SPBC1198.05	52	615	162	100	742	300	0.52	114.61911736667	0.828840970350404	182.694270113264	0.0630255561920941	0.113143196065508	0.627382113821138	0.467649626945338	0.83952251480607	68	84	1
SPNCRNA.1323	7	26	1	100	1695	300	0.07	15.4294965685902	0.0153392330383481	3.38109490757138	0.106577846309068	0.650129905786559	4.56346153846154	1.80649449493871	11.0197019030822	1	106	1
SPBC1198.08	97	1678	92	100	1557	300	0.97	213.80873816475	1.07771355170199	237.551107827271	0.0468441608812087	0.0712628391172322	0.900053635280095	0.72936358492042	1.10956240505531	102	95	1
SPBC1198.09	48	529	12	100	2180	300	0.48	105.802262184618	0.242660550458716	53.4875732947851	0.066737575157823	0.123013171241019	1.97807183364839	1.45487913844054	2.68168713305422	28	120	1
SPBC1198.12	0	1	1	100	1271	300	0	0	0.000786782061369001	0.173423587373161	0.120791776113059	17.3080587281839	0	1.53526347439698	219.985426435218	0	100	1
SPNCRNA.1324	0	152	3	100	3234	300	0	0	0.0470006184291899	10.3599411539257	0.000598838241017142	0.0316968718582087	0	0.0193664287144944	1.02507683589447	4	96	1
SPBC660.05	8	74	2	100	1143	300	0.08	17.6337103641031	0.0647419072615923	14.2705005133817	0.0483093617962613	0.231939700284371	1.23567567567568	0.552176005331266	2.65107077425036	6	102	1
SPBC660.06	60	534	60	100	1063	300	0.6	132.252827730773	0.502351834430856	110.72908436537	0.0852283022378166	0.147827951221732	1.19438202247191	0.90597685278799	1.57141112148701	53	107	1
SPBC660.07	35	430	58	100	2869	300	0.35	77.1474828429509	0.149878006273963	33.0363169073036	0.0567515285536956	0.11619791893049	2.33523255813954	1.62820135420553	3.33371829411575	17	118	0.432797691378371
SPBC660.08	36	467	72	100	1202	300	0.36	79.3516966384637	0.388519134775374	85.6379236692609	0.054071561734513	0.109410268241282	0.926595289079229	0.649940172048846	1.31511142426021	38	98	1
SPBC660.09	23	152	35	100	612	300	0.23	50.6969172967963	0.248366013071895	54.7451792349605	0.0951078840567711	0.238736172497575	0.926052631578947	0.582060250427439	1.46106537568516	24	99	1
SPBC660.10	13	214	357	100	2347	300	0.13	28.6547793416675	0.0911802300809544	20.0980721022478	0.0331932597345258	0.108868566984764	1.4257476635514	0.77904580596932	2.55514526713242	9	104	1
SPBC660.11	350	2958	195	100	1606	300	3.5	771.474828429509	1.84184308841843	405.981594466196	0.105743752534722	0.132380387216983	1.90027045300879	1.69824466570764	2.12602901870475	291	159	4.97833782772261e-05
SPNCRNA.1329	4	8	10	100	713	300	0.04	8.81685518205153	0.0112201963534362	2.47317115906074	0.127050858421533	1.82191715979488	3.565	0.905872620545529	12.9902693493375	1	103	1
SPBC660.14	1	44	31	100	2468	300	0.01	2.20421379551288	0.0178282009724473	3.92971665326446	0.00116244621996113	0.152524184436484	0.560909090909091	0.0286891727086408	3.76429687189242	1	100	1
SPBC660.15	29	1174	0	100	4192	300	0.29	63.9222000698736	0.280057251908397	61.7306058189915	0.016770205848305	0.0361531254981104	1.03550255536627	0.703007029160945	1.51553902088079	28	101	1
SPNCRNA.62	6	3	8	100	185	300	0.06	13.2252827730773	0.0162162162162162	3.57440074948035	0.447546912223926	10.0597133642664	3.7	0.827961787614264	18.6104697238928	1	105	1
SPNCRNA.102	1	13	2	100	342	300	0.01	2.20421379551288	0.0380116959064327	8.37859045077996	0.00375396436557918	0.55840707127902	0.263076923076923	0.0128385581302808	1.90975218377425	3	98	1
SPBC660.16	111	2196	70	100	2697	300	1.11	244.66773130193	0.814238042269188	179.475472560115	0.0415690333787939	0.0614115423512256	1.36323770491803	1.12111683022607	1.65626929721255	94	117	1
SPBC31E1.04	22	583	55	100	1430	300	0.22	48.4927035012834	0.407692307692308	89.8641008939867	0.0240372570186367	0.0586737130506568	0.539622641509434	0.343732775366504	0.839034096624392	35	87	1
SPBC31E1.05	18	205	94	100	1557	300	0.18	39.6758483192319	0.131663455362877	29.0214404675749	0.0525185373456028	0.14495552492896	1.36712195121951	0.817713626471036	2.25695752314391	13	105	1
SPBC31E1.06	35	2551	12	100	3433	300	0.35	77.1474828429509	0.743081852607049	163.791127071173	0.00967846181781266	0.0193556019840107	0.471011368090945	0.332261594205509	0.664477816111087	57	78	1
SPBC800.02	3	18	10	100	679	300	0.03	6.61264138653865	0.0265095729013255	5.84327663022561	0.0391154601316705	0.596338298527623	1.13166666666667	0.265593974294043	4.04913704700256	2	101	1
SPBC800.03	47	485	4	100	2253	278	0.47	103.598048389105	0.215268530847759	47.449786543442	0.0709715452547465	0.131930025735927	2.18331958762887	1.59898891458944	2.97238347983045	26	121	0.234167700977404
SPBC800.06	170	1358	446	100	898	300	1.7	374.71634523719	1.51224944320713	333.332108497382	0.106376134366767	0.147255926900854	1.12415316642121	0.955257686613564	1.32235822356967	162	108	1
SPBC800.08	11	356	45	100	1675	300	0.11	24.2463517506417	0.212537313432836	46.8477678329902	0.0160922796708373	0.0577247736315608	0.517556179775281	0.269545684486525	0.966889958328644	19	92	1
SPBC800.09	53	1334	97	100	1740	300	0.53	116.823331162183	0.766666666666667	168.989724322654	0.0298848808523932	0.052684138806324	0.691304347826087	0.519996926831642	0.916704015230037	66	87	1
SPNCRNA.1333	0	6	10	100	310	300	0	0	0.0193548387096774	4.26622024937977	0.0157393406208896	0.93492067967121	0	0.0487919559247577	2.89825410698075	1	99	1
SPNCRNA.299	0	29	23	100	897	300	0	0	0.032329988851728	7.12622074357565	0.00315841214605714	0.170434554760817	0	0.0283309569501325	1.52879795620453	3	97	1
SPBC800.11	3	91	17	100	1454	300	0.03	6.61264138653865	0.062585969738652	13.7952857903488	0.00834771386500173	0.107526893799738	0.479340659340659	0.121375759597125	1.56344103584819	6	97	1
SPNCRNA.1335	1	7	11	100	725	300	0.01	2.20421379551288	0.0096551724137931	2.12820642325382	0.00660323359662749	1.14229470290644	1.03571428571429	0.0478734435755493	8.28163659607166	0	101	1
SPBC800.13	6	166	28	100	1565	300	0.06	13.2252827730773	0.106070287539936	23.3801591089545	0.0144652240665669	0.0843954051396023	0.56566265060241	0.226380756641773	1.32078809043478	10	96	1
SPBC1773.01	53	697	15	100	2029	300	0.53	116.823331162183	0.343518974864465	75.7189263416697	0.0569105785582462	0.101346242994538	1.54285509325681	1.15471563894682	2.05631527035917	39	114	1
SPBC1773.04	1	420	80	100	2002	300	0.01	2.20421379551288	0.20979020979021	46.2422474583122	0.000124018692963049	0.0155173982859003	0.0476666666666667	0.00248285423312024	0.310658313683725	17	84	1
SPNCRNA.1336	5	27	0	100	950	300	0.05	11.0210689775644	0.0284210526315789	6.2646076293524	0.0626901490871644	0.504810555526247	1.75925925925926	0.595556416328062	4.79570027749934	2	103	1
SPNCRNA.1337	6	41	5	100	1737	300	0.06	13.2252827730773	0.0236039147956246	5.20280746206265	0.0559465533141459	0.359389091144186	2.5419512195122	0.971791631066714	6.24258851317451	2	104	1
SPBC1773.12	0	38	50	100	2107	300	0	0	0.0180351210251542	3.97532625673894	0.00240594623539958	0.129094305004205	0	0.0506932871798692	2.72001700643859	1	99	1
SPBC1773.13	15	235	13	100	1882	300	0.15	33.0632069326932	0.124867162592986	27.523392239401	0.0364484142351616	0.109910198614346	1.20127659574468	0.685959155905742	2.06850993792199	12	103	1
SPBC1773.14	5	177	5	100	1722	300	0.05	11.0210689775644	0.102787456445993	22.6565529503937	0.0102618207830184	0.0711104662698539	0.486440677966102	0.176708553883577	1.22452222916688	9	96	1
SPBC1773.15	16	366	15	100	1729	300	0.16	35.2674207282061	0.211683053788317	46.6594707436504	0.0255762605456167	0.0735717442885021	0.755846994535519	0.442213544833712	1.2720554587482	20	96	1
SPNCRNA.301	0	74	14	100	709	300	0	0	0.104372355430183	23.0058985709384	0.00123194994651341	0.0655194206443666	0	0.00873452512078005	0.464532692368559	9	91	1
SPNCRNA.1339	0	12	5	100	459	300	0	0	0.0261437908496732	5.76265044578531	0.00771806013949717	0.431135285113533	0	0.035425896040292	1.97891095867112	2	98	1
SPNCRNA.1340	1	39	33	100	757	300	0.01	2.20421379551288	0.0515191545574637	11.3559231208722	0.00130809652203615	0.172803354535776	0.194102564102564	0.00990229067181364	1.30812139383583	4	97	1
SPBC1271.15c	6	331	15	100	3003	300	0.06	13.2252827730773	0.11022311022311	24.2955300138117	0.0073108936375456	0.0419700774017786	0.544350453172206	0.219546135935494	1.26036142437541	10	96	1
SPNCRNA.1342	3	5	10	100	274	300	0.03	6.61264138653865	0.0182481751824818	4.02228794801621	0.114091922497598	2.86178388725642	1.644	0.312611867643419	7.84128785108258	1	102	1
SPBC1271.10c	86	1143	12	100	2619	300	0.86	189.562386414108	0.436426116838488	96.1976467457512	0.0600462697009497	0.0941662164555249	1.97055118110236	1.57261180346787	2.4662132089702	56	130	0.0455908687277521
SPNCRNA.1343	0	73	30	100	1342	300	0	0	0.0543964232488823	11.9901346551744	0.0012488776032341	0.0664281626427554	0	0.0167599374354017	0.891465942665777	5	95	1
SPBC1271.08c	3	388	36	100	1803	300	0.03	6.61264138653865	0.215196894065446	47.4339962650581	0.00198758491802086	0.0247745334398809	0.139407216494845	0.0358361560719161	0.446684837921052	18	85	1
SPBC1271.07c	19	256	7	100	1589	300	0.19	41.8800621147448	0.161107614852108	35.5115627219193	0.0451883186709863	0.120475168164833	1.1793359375	0.718042383681972	1.9143504221392	16	103	1
SPBC1271.06c	12	8	0	100	491	300	0.12	26.4505655461546	0.0162932790224033	3.59138703953219	0.572615697226276	4.00573517930346	7.365	2.81154307338101	19.66815973038	1	111	0.189269363228444
SPNCRNA.1348	0	1	0	100	696	300	0	0	0.0014367816091954	0.31669738441277	0.120791776113059	17.3080587281839	0	0.84071076174689	120.46408874816	0	100	1
SPBC1271.05c	0	706	68	100	2256	300	0	0	0.312943262411348	68.97938562199	0.000128780332323499	0.00679236168175708	0	0.00290528429721814	0.15323567954044	23	77	1
SPBC1271.04c	19	454	81	100	1987	300	0.19	41.8800621147448	0.228485153497735	50.3630127409587	0.0256758598281713	0.0674015003139559	0.831563876651982	0.510179334785763	1.3392678112383	22	97	1
SPBC1271.03c	85	223	44	100	1163	300	0.85	187.358172618595	0.191745485812554	42.2648045055351	0.294549422948201	0.492793718645813	4.43295964125561	3.42560978888758	5.7311909478508	29	156	1.20095565410851e-14
SPNCRNA.1349	10	7	12	100	264	300	0.1	22.0421379551288	0.0265151515151515	5.84450627598113	0.502708675185817	4.14723902250747	3.77142857142857	1.32715090249056	10.9487110194197	2	108	1
SPBC1271.01c	6	52	42	100	2257	300	0.06	13.2252827730773	0.0230394328754985	5.07838357849667	0.0446704309649143	0.279423243257117	2.60423076923077	1.00821162687812	6.30658260031313	2	104	1
SPBC106.01	23	634	17	100	2320	300	0.23	50.6969172967963	0.273275862068966	60.2358425153089	0.0233596777168175	0.055833934261525	0.841640378548896	0.541944523030166	1.29534727486738	26	97	1
SPNCRNA.305	0	3	4	100	99	300	0	0	0.0303030303030303	6.67943574397843	0.0327971598819604	2.22593021867193	0	0.0324691882831408	2.20367091648522	2	98	1
SPBC106.03	15	833	202	100	1473	300	0.15	33.0632069326932	0.56551255940258	124.651058497096	0.0104099418478064	0.0306142663331757	0.265246098439376	0.153338443418189	0.450948143087678	41	74	1
