WT_3MBPP1r2_pr_counts	WT_3MBPP1r2gb_counts	WT_3MBPP1r2term_counts	WT_3MBPP1r2pr_map	WT_3MBPP1r2gb_map	WT_3MBPP1r2term_map	WT_3MBPP1r2pr_density	WT_3MBPP1r2pr_densityRPKM	WT_3MBPP1r2gb_density	WT_3MBPP1r2gb_densityRPKM	WT_3MBPP1r2pause_index_CI_low	WT_3MBPP1r2pause_index_CI_high	WT_3MBPP1r2pause_index_scaled	WT_3MBPP1r2pause_index_CI_low_scaled	WT_3MBPP1r2pause_index_CI_high_scaled	WT_3MBPP1r2_ExpPR	WT_3MBPP1r2_ExpGB	WT_3MBPP1r2Fexact_Pval
SPBC14C8.15	7	574	16	100	2968	300	0.07	8.1460934361572	0.193396226415094	22.5060532939653	0.00531760112525989	0.0264832622028765	0.361951219512195	0.157826401397713	0.786023222181374	17	90	1
SPBC15C4.02	2	742	458	100	2193	300	0.02	2.32745526747349	0.338349293205654	39.3746422358716	0.000465968353673976	0.0108981664472754	0.0591105121293801	0.0102186859960703	0.238996790188749	25	77	1
SPBC15C4.03	179	780	79	100	1404	300	1.79	208.307246438877	0.555555555555556	64.6515352075969	0.194411307306706	0.270795093243053	3.222	2.72953475458615	3.80196310913246	99	180	8.50264546755658e-16
SPNCRNA.1498	0	45	32	100	1583	300	0	0	0.0284270372710044	3.30813288175322	0.00202982372305869	0.108604324102592	0	0.032132109536019	1.71920645054403	2	98	1
SPBC15C4.05	80	2016	75	100	4785	300	0.8	93.0982106989395	0.421316614420063	49.0297786753035	0.0315240311729957	0.0498840152592357	1.89880952380952	1.50842489162785	2.38695013015443	53	127	0.159560034052658
SPBC21H7.02	35	263	177	100	1045	300	0.35	40.730467180786	0.251674641148325	29.2880734615085	0.0919861301259821	0.191666842595044	1.39068441064639	0.961255059816512	2.00291850511821	27	108	1
SPBC21H7.04	26	522	90	100	2041	288	0.26	30.2569184771553	0.255756981871632	29.7631467325125	0.032880870509435	0.074891908894495	1.01659003831418	0.671098567097568	1.52854386053664	25	101	1
SPBC21H7.05	2	286	55	100	2039	300	0.02	2.32745526747349	0.140264835703776	16.3230065350029	0.00120519689411152	0.0283847962900719	0.142587412587413	0.0245739646709339	0.578765996354567	12	90	1
SPNCRNA.1499	0	15	10	100	332	300	0	0	0.0451807228915663	5.25780557411179	0.00615095181701504	0.339527058120729	0	0.0204211600324899	1.12722983296082	4	96	1
SPNCRNA.1500	2	12	44	100	1175	300	0.02	2.32745526747349	0.0102127659574468	1.18848779615667	0.0257876390551737	0.780923056209107	1.95833333333333	0.303004758898291	9.17584591045701	1	101	1
SPBC16H5.14c	3	288	8	100	1905	300	0.03	3.49118290121023	0.151181102362205	17.5933626517681	0.00267339433407493	0.0334401640917062	0.1984375	0.0509281620641275	0.637035125947002	13	90	1
SPBC16H5.12c	56	2007	86	100	2784	300	0.56	65.1687474892576	0.720905172413793	83.8937270441683	0.0211910041436873	0.0366524405966756	0.776801195814649	0.589957555360255	1.02040394621145	65	91	1
SPBC16H5.11c	227	1283	1074	100	2174	300	2.27	264.166172858241	0.59015639374425	68.6781303626606	0.153241662817222	0.204224886839405	3.84643803585347	3.33147374964642	4.43984903988866	121	206	8.89251911080824e-26
SPBC16H5.10c	714	1524	231	100	2333	300	7.14	830.901530488035	0.653236176596657	76.0188990062065	0.428222103389168	0.512557849956401	10.9301968503937	9.9904216720693	11.9579746394828	321	493	7.17803742139159e-147
SPBC16H5.09c	186	195	71	100	1526	300	1.86	216.453339875034	0.12778505897772	14.8707004311052	0.776419428065153	1.17178846565924	14.5556923076923	11.8481604722742	17.88149198596	32	254	3.80462260864598e-77
SPBC16H5.08c	99	1103	776	100	1869	300	0.99	115.209035739938	0.590155163188871	68.6779871595307	0.0726624047253798	0.110761849618631	1.67752493200363	1.35806034431735	2.07013896937222	73	126	1
SPBC16H5.07c	10	965	2	100	3302	300	0.1	11.6372763373674	0.292247122955784	34.0096052863706	0.00524767568593178	0.0198193859698931	0.342176165803109	0.173278251149467	0.654436124725871	24	86	1
SPBC16H5.05c	1	414	28	100	2413	300	0.01	1.16372763373674	0.171570658930792	19.9661516936184	0.00012581214286741	0.0157430690884179	0.0582850241545894	0.00303584700739061	0.379880257103524	14	87	1
SPBC16H5.03c	13	297	11	100	2130	300	0.13	15.1284592385777	0.13943661971831	16.2266247521039	0.0240340747391994	0.0780458526654479	0.932323232323232	0.511925791944947	1.66237666177404	13	100	1
SPNCRNA.1501	8	333	186	100	2746	300	0.08	9.30982106989395	0.121267297887837	14.1122105620661	0.011070269314248	0.0498728276910103	0.6596996996997	0.303989595369251	1.36950784839514	11	97	1
SPNCRNA.538	7	180	22	100	1109	300	0.07	8.1460934361572	0.162308385933273	18.8882753897758	0.016777635797926	0.0854235965633659	0.431277777777778	0.186063980998999	0.947347685887728	14	93	1
SPBC12D12.01	101	1305	54	100	2718	300	1.01	117.536491007411	0.480132450331126	55.8743400304066	0.0628671640880312	0.0951892212747911	2.10358620689655	1.70872951991269	2.58724303424882	65	136	0.00175437161168646
SPBC12D12.03	110	1290	58	100	1999	300	1.1	128.010039711042	0.645322661330665	75.0979813667033	0.0698337125202295	0.10403561050028	1.70457364341085	1.39597591327939	2.07967185390061	82	128	0.816596960587297
SPBC12D12.09	1	128	28	100	1170	300	0.01	1.16372763373674	0.109401709401709	12.7313792408806	0.000404949082038028	0.0513157720336457	0.09140625	0.00473790425984492	0.600394532793655	9	92	1
SPBC12D12.06	3	144	58	100	1400	300	0.03	3.49118290121023	0.102857142857143	11.9697699470065	0.00531350966814021	0.0673735146119058	0.291666666666667	0.0743891353539629	0.943229204566682	9	94	1
SPBTRNAPRO.06	5	0	5	100	63	300	0.05	5.81863816868372	0	0	0.862003156980681	52.525534954449	NA	0.543061988897829	33.0910870213029	0	105	1
SPNCRNA.1502	3	2	2	100	198	300	0.03	3.49118290121023	0.0101010101010101	1.17548245831994	0.205434456268421	12.7771333780473	2.97	0.406760223411473	25.2987240885336	1	102	1
SPBC24C6.02	38	747	47	100	2039	233	0.38	44.2216500819963	0.366356056890633	42.633866719046	0.0361914812221065	0.0712032277887397	1.03724230254351	0.737944302118751	1.4518338146124	37	101	1
SPBC24C6.03	14	540	614	100	1736	300	0.14	16.2921868723144	0.311059907834101	36.1989010494148	0.0146472352352793	0.0450199419733877	0.450074074074074	0.254276003684448	0.78154619265801	27	87	1
SPBC24C6.04	369	2622	588	100	1857	300	3.69	429.415496848858	1.41195476575121	164.313077849098	0.126005821890447	0.157159609888658	2.61339816933638	2.3399281125056	2.91845395563238	274	195	6.56232208186464e-15
SPBC24C6.05	133	406	163	100	833	300	1.33	154.775775286987	0.487394957983193	56.7194981149001	0.268003437577024	0.400213205119639	2.72879310344828	2.23246863501661	3.33377599864659	76	157	2.12255892110367e-08
SPNCRNA.1504	18	403	145	100	830	300	0.18	20.9470974072614	0.485542168674699	56.5038839031214	0.0269952174792393	0.0729482461084705	0.370719602977667	0.224060305077687	0.605470442700305	38	80	1
SPBC24C6.06	80	683	56	100	1969	300	0.8	93.0982106989395	0.346876587100051	40.3669869904619	0.0922547268576598	0.148518942468441	2.30629575402635	1.81649557182732	2.9243379772036	46	134	0.000869728944295474
SPBC24C6.07	22	438	57	100	2704	300	0.22	25.6020079422084	0.16198224852071	18.8503218778363	0.0319069818450557	0.0783178632579408	1.35817351598173	0.862764789090307	2.11771502249472	17	105	1
SPNCRNA.1505	37	1039	48	100	2529	300	0.37	43.0579224482595	0.41083432186635	47.8099253243367	0.0252794184889261	0.0499452761481205	0.90060635226179	0.639316493584941	1.26311603378597	39	98	1
SPNCRNA.1506	1	4	24	100	272	300	0.01	1.16372763373674	0.0147058823529412	1.71136416725992	0.0106420142837121	2.34682041637603	0.68	0.0289462788516969	6.38335153254279	1	100	1
SPBC24C6.13	16	26	30	100	202	300	0.16	18.6196421397879	0.128712871287129	14.9786725134432	0.315621785295789	1.19057250407817	1.24307692307692	0.637556006297494	2.4049564582379	13	103	1
SPBC24C6.11	7	1072	1	100	3560	300	0.07	8.1460934361572	0.301123595505618	35.0425849260053	0.00285379724088123	0.0141458259468733	0.232462686567164	0.101595181775372	0.50359140370869	24	83	1
SPBC19G7.02	9	382	75	100	947	300	0.09	10.4735487036307	0.40337909186906	46.9423396079658	0.0114026865473595	0.0469026009556596	0.223115183246073	0.107983441603494	0.444167631050097	31	78	1
SPBC19G7.04	136	147	5	100	1878	300	1.36	158.266958188197	0.0782747603833866	9.1090501682269	0.727925586021152	1.1757842606381	17.374693877551	13.6704425054772	22.0812284147835	17	219	1.48683001953726e-69
SPBC19G7.06	4	1090	202	100	3399	300	0.04	4.65491053494697	0.320682553692262	37.3187149388953	0.00117328164447628	0.0101144641571949	0.124733944954128	0.0398798430957487	0.343790636703054	25	79	1
SPBC19G7.09	46	677	143	100	1911	300	0.46	53.5314711518902	0.354264782836211	41.2267717446246	0.0497997915254915	0.0924187472252989	1.29846381093058	0.951674016052143	1.76612225947546	38	108	1
SPBC19G7.13	7	544	30	100	2392	300	0.07	8.1460934361572	0.22742474916388	26.4660465197654	0.00560933535345615	0.0279518266557789	0.307794117647059	0.134175301654671	0.668607693606231	19	88	1
SPBC19G7.15	82	572	67	100	1502	300	0.82	95.425665966413	0.380825565912117	44.3177234685364	0.112935740843953	0.181746843816686	2.15321678321678	1.69629482747618	2.72983759412662	50	132	0.00747830049482822
SPBC19G7.16	50	568	96	100	1458	300	0.5	58.1863816868372	0.38957475994513	45.3358913554506	0.0651886876333173	0.118548099981659	1.28345070422535	0.950451065693766	1.72843129773259	42	108	1
SPBC19G7.17	55	1115	213	100	2035	300	0.55	64.0050198555209	0.547911547911548	63.7619809148142	0.0372566106685275	0.0651522630105347	1.00381165919283	0.758172027104535	1.32584855226438	54	101	1
SPBC36B7.02	37	440	340	100	1723	300	0.37	43.0579224482595	0.255368543238537	29.7179430553782	0.0592136008672625	0.118910207844882	1.44888636363636	1.02025034294293	2.04882288116732	27	110	1
SPBC36B7.03	112	984	188	100	2095	300	1.12	130.337494978515	0.469689737470167	54.659092677659	0.0931410114499129	0.138983141750318	2.38455284552846	1.95130418987568	2.91169681966917	67	145	7.20435473053489e-06
SPBC36B7.04	12	200	67	100	1225	300	0.12	13.9647316048409	0.163265306122449	18.9996348365183	0.0319252819014126	0.110126653779717	0.735	0.391084703292304	1.34905150880153	15	97	1
SPBC36B7.07	5	458	115	100	1795	300	0.05	5.81863816868372	0.255153203342618	29.6928833566255	0.0039983839275648	0.0272346236482425	0.195960698689956	0.0717709914997882	0.488861494485952	21	84	1
SPBC36B7.09	40	2148	76	100	5611	300	0.4	46.5491053494697	0.38281946177152	44.5497586395745	0.0134382996713862	0.0257035322153826	1.04487895716946	0.754022994561478	1.44222519260512	38	102	1
SPBP18G5.02	20	258	51	100	1523	300	0.2	23.2745526747349	0.169402495075509	19.7138364743322	0.0477969774349623	0.124367110797181	1.18062015503876	0.727947966334476	1.89411109744106	17	103	1
SPBP18G5.03	11	243	33	100	1612	300	0.11	12.8010039711042	0.150744416873449	17.5425443547164	0.02346889767037	0.0849707853044404	0.729711934156379	0.378318630446364	1.36972905910758	14	97	1
SPBC1921.02	17	387	140	100	1244	300	0.17	19.7833697735246	0.311093247588424	36.2027808887556	0.0261428509199346	0.0727747841275467	0.546459948320413	0.325217065443986	0.905318314546681	27	90	1
SPBC1921.05	1753	3100	51	100	4869	300	17.53	2040.01454194051	0.636681043335387	74.0923324005731	0.533078734164258	0.599854486627739	27.5334096774193	25.9556035664577	29.2069149539046	720	1133	0
SPNCRNA.1512	6	4	23	100	981	300	0.06	6.98236580242046	0.00407747196738022	0.474506680422729	0.376784068761011	6.3029714817381	14.715	3.69625171454551	61.8321502358508	0	106	0.735795262073059
SPBC21D10.11c	15	747	84	100	1661	300	0.15	17.4559145060512	0.449729078868152	52.3362156773839	0.0116018743347266	0.0341586724342198	0.333534136546185	0.192707132699809	0.567375549132391	35	80	1
SPBC21D10.09c	65	3342	142	100	5006	300	0.65	75.6422961928883	0.667598881342389	77.6903266469875	0.0150921953289426	0.0250171377713619	0.973638539796529	0.755515298166868	1.25235791683438	66	99	1
SPBC21D10.08c	2	16	14	100	1618	300	0.02	2.32745526747349	0.00988875154511743	1.15078134362101	0.0198698862921535	0.564288735510909	2.0225	0.321494760207044	9.13019174056651	0	102	1
SPBC21D10.06c	65	849	46	100	3697	300	0.65	75.6422961928883	0.229645658642142	26.7244998929536	0.0589862445979831	0.0991888784797127	2.83044758539458	2.18072146278743	3.66701283739498	30	135	7.41113437828958e-06
SPBC21D10.05c	5	1257	13	100	3403	199	0.05	5.81863816868372	0.36937995885983	42.9857665473725	0.00146166280369736	0.00988725909327537	0.135361972951472	0.0497403852098213	0.336463426944161	28	77	1
SPBC12C2.13c	73	559	51	100	1798	300	0.73	84.9521172627823	0.310901001112347	36.1804086350856	0.101520286450377	0.167734754644587	2.34801431127013	1.82533475037777	3.01587088850967	41	132	0.00132162041646249
SPBC12C2.12c	22	328	51	100	1101	300	0.22	25.6020079422084	0.297910990009083	34.668725146744	0.0424509820387366	0.104978407501799	0.738475609756098	0.46738531224649	1.1558122665948	28	94	1
SPNCRNA.1515	0	15	4	100	673	300	0	0	0.0222882615156018	2.5937465833657	0.00615095181701504	0.339527058120729	0	0.0413959057285112	2.28501710115251	2	98	1
SPBC12C2.10c	45	2720	135	100	4881	300	0.45	52.3677435181535	0.557262855972137	64.8502184749834	0.0121769100025667	0.02240337001413	0.807518382352941	0.594354977225279	1.09350849038969	51	94	1
SPBC12C2.09c	19	915	185	100	1485	300	0.19	22.1108250409981	0.616161616161616	71.7044299575165	0.0128040427138448	0.0332703348553942	0.308360655737705	0.190140034300595	0.494064472602604	45	74	1
SPNCRNA.1516	39	29	276	100	884	300	0.39	45.385377715733	0.0328054298642534	3.81765852696443	0.811532188440217	2.23348308981788	11.888275862069	7.17394454581152	19.7439905139901	4	135	1.34825446324669e-15
SPBC12C2.07c	52	1052	445	100	1053	300	0.52	60.5138369543107	0.999050332383666	116.262247928875	0.0370252849879061	0.0658175921277558	0.520494296577947	0.389876250922652	0.693059245105268	75	77	1
SPBC12C2.05c	13	475	73	100	2517	300	0.13	15.1284592385777	0.188716726261422	21.961486929875	0.0150992682860743	0.0485582875838704	0.688863157894737	0.38004858276049	1.22221209848602	17	96	1
SPBC12C2.03c	109	2205	206	100	2422	300	1.09	126.846312077305	0.910404624277457	105.946301915339	0.0405833409070632	0.0601611843823625	1.19726984126984	0.982928516769072	1.45710388574082	99	110	1
SPBC12C2.02c	92	2568	96	100	4384	300	0.92	107.06294230378	0.585766423357664	68.167257377645	0.0289299445828545	0.0443153772331413	1.57059190031153	1.26828877051234	1.94278613790091	70	122	1
SPBC12C2.01c	22	719	107	100	1211	300	0.22	25.6020079422084	0.593724194880264	69.0933252400263	0.0195213483839918	0.0474986958591625	0.370542420027816	0.23640352893014	0.575209206854457	45	77	1
SPBC17F3.01c	74	1967	515	100	1475	300	0.74	86.115844896519	1.3335593220339	155.189983427808	0.0296125617616265	0.0477208169222146	0.554905948144382	0.436785285983991	0.703882049602665	99	75	1
SPNCRNA.1520	4	166	342	100	2880	300	0.04	4.65491053494697	0.0576388888888889	6.70759677778817	0.00762167624095081	0.0672254898099274	0.693975903614458	0.219504275739383	1.93609410652591	5	99	1
SPBC557.04	60	2057	195	100	3172	300	0.6	69.8236580242046	0.648486759142497	75.4661961726507	0.0223640282717731	0.0379628789765055	0.925230918813806	0.709386976780643	1.20418252113475	62	98	1
SPBC557.05	92	258	15	100	2020	300	0.92	107.06294230378	0.127722772277228	14.8634519556475	0.279035896110963	0.455308812837813	7.2031007751938	5.63652510144145	9.19723801932382	21	171	1.66517438509653e-28
SPBC365.01	38	1231	179	100	1617	300	0.38	44.2216500819963	0.761286332714904	88.5929942566438	0.022034799536857	0.0430627483146831	0.499155158407799	0.356302708510978	0.696324640248426	59	79	1
SPBC365.06	47	1026	22	100	3220	300	0.47	54.6951987856269	0.318633540372671	37.0802655967049	0.0338007679288616	0.0618941989770381	1.47504873294347	1.08838472730934	1.99299320706063	35	112	1
SPBC365.10	20	891	164	100	2259	300	0.2	23.2745526747349	0.394422310756972	45.900014239019	0.0140170237254448	0.0355454112628724	0.507070707070707	0.316644565957797	0.802970840428287	33	87	1
SPBC365.11	64	300	10	100	1337	300	0.64	74.4785685591516	0.224382946896036	26.1120635842201	0.161332318853546	0.281615723765013	2.85226666666667	2.15701310307192	3.76520222673822	30	134	2.68785340912837e-05
SPBC365.15	17	961	73	100	2988	300	0.17	19.7833697735246	0.321619812583668	37.4277863460847	0.0105980169183707	0.0291069313787748	0.528574401664932	0.316668745520916	0.869715109597791	28	89	1
SPNCRNA.399	9	50	25	100	973	300	0.09	10.4735487036307	0.0513874614594039	5.98010089278902	0.0826251261801085	0.379205604883188	1.7514	0.803942477732455	3.68967053551342	5	104	1
SPNCRNA.400	2	90	453	100	509	300	0.02	2.32745526747349	0.176817288801572	20.5767165100799	0.0037886154381547	0.0914546113416967	0.113111111111111	0.0192840525802074	0.465503971729236	15	87	1
SPNCRNA.135	302	1523	1053	100	1010	300	3.02	351.445745388497	1.50792079207921	175.480909522877	0.174914297411944	0.224758741665388	2.00275771503611	1.76663440386063	2.27006329082042	241	161	1.63558646972882e-05
SPBC365.16	302	6118	1208	100	2348	300	3.02	351.445745388497	2.60562180579216	303.223409846737	0.0438990625643625	0.0554957425448611	1.15903236351749	1.03074998901123	1.30304003495334	290	112	1
SPBC29A10.01	145	2186	190	100	2417	300	1.45	168.740506891828	0.904426975589574	105.250666419053	0.0558587720513551	0.078723605384362	1.60322506861848	1.35010652048125	1.90274954214003	116	129	1
SPBC29A10.02	41	508	137	100	1765	300	0.41	47.7128329832065	0.287818696883853	33.4942571069839	0.0579125237045376	0.11206588609729	1.42450787401575	1.02215604338509	1.97796288961718	31	110	1
SPBC29A10.04	98	1449	48	100	4242	300	0.98	114.045308106201	0.341584158415842	39.7510924395224	0.0548131915341392	0.0833678483447583	2.86898550724638	2.32517558487818	3.53646412678465	50	148	6.54857751829667e-09
SPBC29A10.05	63	608	49	100	2284	300	0.63	73.3148409254148	0.266199649737303	30.9783888490342	0.0792268837659812	0.135263134302467	2.36664473684211	1.80954202521501	3.08940998746835	34	129	0.00339027606119655
SPBC29A10.07	78	1629	30	100	3737	300	0.78	90.770755431466	0.435911158683436	50.7281861214117	0.0378876437801047	0.0604273170223974	1.78935543278085	1.41586124806251	2.25816883712699	54	124	0.879412720050877
SPNCRNA.1527	1	6	3819	100	455	300	0.01	1.16372763373674	0.0131868131868132	1.53458589064186	0.00755953402951306	1.38050834161111	0.758333333333333	0.0343958798342844	6.28131295433053	1	100	1
SPBC29A10.08	2412	5569	519	100	1554	300	24.12	2806.91105257303	3.58365508365508	417.039845063058	0.412784565878402	0.454437610850557	6.7305584485545	6.41467215375037	7.06196047261765	1963	549	1.64081762419489e-111
SPNCRNA.1528	142	66	6	100	1024	300	1.42	165.249323990618	0.064453125	7.50058826431885	1.59156572489361	2.91200807000846	22.0315151515152	16.2976330229105	29.8189626368866	14	228	3.76529737579512e-69
SPBC29A10.12	13	114	54	100	812	300	0.13	15.1284592385777	0.140394088669951	16.3380480598508	0.0613785664733868	0.207613866413953	0.925964912280702	0.4983939597639	1.6858245952813	13	100	1
SPBC29A10.13	9	230	80	100	565	300	0.09	10.4735487036307	0.407079646017699	47.3729833202568	0.0188352878047549	0.0783503158527252	0.221086956521739	0.106419376096865	0.442679284567897	31	78	1
SPBC29A10.14	24	486	255	100	1866	300	0.24	27.9294632096818	0.260450160771704	30.309304930121	0.0320231624976635	0.0755167827700125	0.921481481481481	0.597552212206401	1.40914316648843	25	99	1
SPBC29A10.15	68	650	179	100	2217	300	0.68	79.1334790940985	0.29318899413622	34.1192134383799	0.0808149502277401	0.135197108632247	2.31932307692308	1.791667446549	2.99731989837692	38	130	0.0030095833162981
SPBC29A10.17	64	518	87	100	1877	300	0.64	74.4785685591516	0.275972296217368	32.1156587253933	0.09444356940826	0.161337783214305	2.31907335907336	1.77270579779304	3.0283101909325	35	129	0.00600376532048131
SPBC2G5.01	367	855	163	100	1107	300	3.67	427.088041581385	0.772357723577236	89.8814026056834	0.379094187474971	0.485971596850094	4.75168421052632	4.19657265534793	5.37970557713054	203	264	2.25585101554074e-40
SPNCRNA.401	0	7	0	100	419	300	0	0	0.0167064439140811	1.94417504442893	0.0134151780994594	0.782741335671289	0	0.0562095962367351	3.2796861964627	1	99	1
SPBC2G5.03	39	149	127	100	970	300	0.39	45.385377715733	0.15360824742268	17.8758162295644	0.181040531044272	0.37712654041515	2.53892617449664	1.75609315112944	3.65812744202695	18	121	0.105713090359499
SPNCRNA.1531	22	545	1296	100	2160	300	0.22	25.6020079422084	0.252314814814815	29.3625722401169	0.0256983337156796	0.062802032592989	0.871926605504587	0.555084008258679	1.35652390400856	24	98	1
SPNCRNA.402	11	326	41	100	1081	300	0.11	12.8010039711042	0.301572617946346	35.0948389082496	0.0175573612740629	0.0630963055514966	0.364754601226994	0.18979507537262	0.682071063011678	25	86	1
SPBC2G5.05	226	6220	905	100	2255	300	2.26	263.002445224504	2.75831485587583	320.992722032929	0.0317439895753989	0.0415766848530093	0.819340836012862	0.715826964925245	0.937554243435359	239	87	1
SPBC25B2.01	9	473	37	100	2065	300	0.09	10.4735487036307	0.229055690072639	26.6558436202169	0.00922365729927464	0.0378151810333343	0.39291754756871	0.190468523230021	0.780883488338354	20	89	1
SPNCRNA.1534	10	51	223	100	261	300	0.1	11.6372763373674	0.195402298850575	22.7395054868099	0.0935517944717714	0.399518365545125	0.511764705882353	0.244170183571323	1.04274293407278	17	93	1
SPBC25B2.03	59	3276	577	100	2667	300	0.59	68.6599303904679	1.22834645669291	142.946071545616	0.0137967683748195	0.0234576647357587	0.480320512820513	0.367959812556435	0.625615918502684	87	72	1
SPNCRNA.1535	143	90	141	100	804	300	1.43	166.413051624354	0.111940298507463	13.0268018701874	1.21082320699685	2.08616292344291	12.7746666666667	9.73501858425471	16.772749904481	24	219	3.95335646151518e-50
SPBC25B2.05	41	429	88	100	920	300	0.41	47.7128329832065	0.466304347826087	54.2651255296808	0.0684183262858119	0.133015166549667	0.879254079254079	0.62944860182947	1.22373953225694	44	97	1
SPBC25B2.08	53	1204	96	100	1307	300	0.53	61.6775645880474	0.921193573068095	107.201841700003	0.0330918624600437	0.058407891430021	0.575340531561462	0.432510642352771	0.763391140990374	73	80	1
SPBC25B2.10	13	641	134	100	1018	300	0.13	15.1284592385777	0.629666011787819	73.2759737942291	0.0112121622160784	0.0359059044035281	0.206458658346334	0.114139811359678	0.365522106827916	43	70	1
SPBC25B2.11	207	418	17	100	1366	300	2.07	240.891620183506	0.306002928257687	35.6104063617832	0.417753837548142	0.58691858703281	6.76464114832536	5.70651742090762	8.01730789886818	71	236	5.19829382381563e-46
SPBC6B1.02	71	2110	198	100	3404	300	0.71	82.6246619953088	0.619858989424207	72.1347035013081	0.0263625914466712	0.0428793361396398	1.14542180094787	0.897382612844688	1.45961260219334	65	106	1
SPNCRNA.1537	31	91	47	100	1057	300	0.31	36.075556645839	0.0860927152317881	10.018847177866	0.221885552555079	0.520675049617638	3.60076923076923	2.34533029050719	5.50353527445843	10	121	0.00187579123908546
SPBC6B1.04	5	320	0	100	2843	300	0.05	5.81863816868372	0.112557157931762	13.0985875060063	0.00570993888220791	0.0390754385238123	0.44421875	0.162333562421171	1.11091471723198	10	95	1
SPNCRNA.1538	63	409	3	100	2760	300	0.63	73.3148409254148	0.148188405797101	17.2450942825481	0.117049706940084	0.202334825609121	4.25134474327628	3.23057191154632	5.58444118681173	21	142	9.2899893332184e-12
SPNCRNA.403	6	38	106	100	711	300	0.06	6.98236580242046	0.0534458509142053	6.21964136174349	0.0600835854795367	0.389781404210672	1.12263157894737	0.427194292759506	2.77134578393788	5	101	1
SPBC6B1.07	70	590	69	100	2784	300	0.7	81.460934361572	0.211925287356322	24.6623313184152	0.0918535565769508	0.15300370176902	3.30305084745763	2.55720301510231	4.25962305724951	29	141	1.33007852421265e-08
SPBC6B1.10	2	630	3	100	8151	300	0.02	2.32745526747349	0.0772911299227089	8.99458237337932	0.000548618649902412	0.0128412050314731	0.258761904761905	0.0447179061535456	1.04668662211538	7	95	1
SPNCRNA.1541	0	27	1	100	1005	300	0	0	0.026865671641791	3.12643244884498	0.00339432100419189	0.183491530730493	0	0.0341129260921285	1.84408988384145	2	98	1
SPNCRNA.540	7	8	0	100	518	300	0.07	8.1460934361572	0.0154440154440154	1.79726275480578	0.28660672208444	2.64653671279213	4.5325	1.4846228203974	13.7090601722632	1	106	1
SPNCRNA.1542	0	18	11	100	2363	300	0	0	0.00761743546339399	0.886462014695784	0.00511285240857114	0.280011224227739	0	0.120816702414536	6.61666522850146	0	100	1
SPBC3E7.09	5	454	464	100	1944	300	0.05	5.81863816868372	0.233539094650206	27.1775898002305	0.00403342795289519	0.0274759563937911	0.214096916299559	0.0784098394042824	0.5341325922953	19	86	1
SPBC3E7.10	291	785	56	100	1293	300	2.91	338.644741417392	0.607115235885538	70.6516776862601	0.323290479987029	0.425000672789056	4.79315923566879	4.18014590623228	5.49525869916249	147	244	1.25011671674726e-37
SPNCRNA.1544	16	257	108	100	1449	300	0.16	18.6196421397879	0.17736369910283	20.6403037867732	0.0362497383510487	0.105295738083449	0.902101167315175	0.525258708706696	1.52573524482917	17	99	1
SPBC3E7.14	35	573	113	100	1050	300	0.35	40.730467180786	0.545714285714286	63.5062794410623	0.0427362655704417	0.0868924612588732	0.641361256544503	0.448730788489638	0.912370843218169	47	88	1
SPBC4F6.04	442	641	364	100	703	300	4.42	514.367614111641	0.911806543385491	106.109447115968	0.60971966400716	0.779793369867839	4.84751950078003	4.28632923797033	5.48194739017091	258	284	2.91077083656931e-40
SPBC4F6.06	140	2151	116	100	3597	300	1.4	162.921868723144	0.597998331943286	69.590718381088	0.0546456049442043	0.0774760545616831	2.34114365411437	1.96560240984303	2.78681368258374	89	151	6.98540541901465e-07
SPBC4F6.09	19	1556	99	100	2792	300	0.19	22.1108250409981	0.55730659025788	64.8553079546695	0.00754488347041908	0.0195232147237598	0.340925449871465	0.210653146494101	0.545088155087374	42	77	1
SPBC4F6.10	311	1473	6	100	3670	300	3.11	361.919294092127	0.401362397820163	46.7076513486164	0.186462735147708	0.239031379430341	7.74860828241684	6.84318237992087	8.77245162509352	117	294	1.16054304953458e-75
SPBC4F6.12	10	684	39	100	1840	300	0.1	11.6372763373674	0.371739130434783	43.2603098628224	0.00739294861030565	0.0280035197336691	0.269005847953216	0.136030254429624	0.515264763099512	29	81	1
SPBC4F6.14	97	876	156	100	2061	300	0.97	112.881580472464	0.425036390101892	49.4626592505282	0.0892580094877463	0.137233899929434	2.28215753424658	1.83960757554245	2.82839067754564	58	139	0.000182343854172005
SPNCRNA.1545	33	77	19	100	710	300	0.33	38.4030119133125	0.108450704225352	12.6207081405252	0.2792019754917	0.655456400429128	3.04285714285714	1.98233402599107	4.65374044304681	13	120	0.0344249738108767
SPNCRNA.405	12	25	124	100	260	300	0.12	13.9647316048409	0.0961538461538462	11.1896887859302	0.227824283675224	0.995790983261929	1.248	0.592343137555583	2.58905655648102	9	103	1
SPBC18A7.01	14	126	18	100	1331	300	0.14	16.2921868723144	0.0946656649135988	11.0165050226018	0.0613220710917158	0.197699979718856	1.47888888888889	0.816196766230737	2.63138673005797	9	105	1
SPBC336.01	42	568	48	100	2681	300	0.42	48.8765606169432	0.211861245803805	24.654878625978	0.0533344585519105	0.10215277952432	1.98242957746479	1.42989683377672	2.73871601904702	24	118	1
SPBC336.02	38	260	27	100	928	300	0.38	44.2216500819963	0.280172413793103	32.604438014176	0.102393133446282	0.207796672334657	1.35630769230769	0.950208278381499	1.92835311926561	30	108	1
